id_filial,nome_filial,matriz,razao_social,fone,cnpj,status,cidade,estado,filial_franquadora,nome_estado,long,lat,alt,geometry
577049,SÃO JOSE DOS PINHAIS,Muniz Auto Center - C.D,AGUIA COMERCIO DE PECAS LTDA,(41)3035-1020,49398821000117,Ativo,sao jose dos pinhais,pr,0,parana,-49.2000824656673,-25.537702,907.266426,POINT (-49.20008246566731 -25.537702)
236002,SÃO JOSÉ DOS PINHAIS (Av Rui Barbosa),Muniz Auto Center - C.D,J BRANDAO AUTOCENTER LTDA,(41)3035-1020,43732787000199,Ativo,sao jose dos pinhais,pr,0,parana,-49.2000824656673,-25.537702,907.266426,POINT (-49.20008246566731 -25.537702)
877439,SÃO PAULO (São Miguel),Muniz Auto Center - C.D,COMERCIO DE PNEUMATICOS FC LTDA,(44)8417-9370,51.471.502/0001-31,Ativo,sao paulo,sp,0,sao paulo,-46.5703831821127,-23.5673865,783.615127,POINT (-46.57038318211274 -23.567386499999998)
610839,SÃO PAULO (Vila Maria),Muniz Auto Center - C.D,COMERCIO DE PNEUMATICOS VILA MARIA LTDA,(44)8417-9370,498.464.630-00168,Ativo,sao paulo,sp,0,sao paulo,-46.5703831821127,-23.5673865,783.615127,POINT (-46.57038318211274 -23.567386499999998)
610821,SÃO VICENTE,Muniz Auto Center - C.D,MUNIZ FRANQUIAS LTDA,(19)0000-0000,28031260000305,Ativo,sao vicente,sp,0,sao paulo,-46.3844908173177,-23.967373,13.940852,POINT (-46.38449081731771 -23.967373000000002)
56766,SARANDI,Muniz Auto Center - C.D,GRID AUTO CENTER - COMERCIO DE PECAS PARA VEICULOS LTDA,(44)3264-4955,32.466.987/0001-20,Ativo,sarandi,pr,0,parana,-51.8736820362471,-23.44317201,585.531075,POINT (-51.87368203624705 -23.443172009999998)
1028076,SINOP (Av. das Itaubas),Muniz Auto Center - C.D,COMERCIO DE PNEUMATICOS MR SINOP LTDA,(44)99124-6199,52.738.215/0001-08,Ativo,sinop,mt,0,mato grosso,-55.5009220023868,-11.8580053080776,377.04184,POINT (-55.50092200238674 -11.8580053080776)
470136,SOROCABA,Muniz Auto Center - C.D,AGUIAR COMERCIO DE PNEUMATICOS LTDA,(15)3327-4693,48556726000131,Ativo,sorocaba,sp,0,sao paulo,-47.457853253204,-23.499323,591.229374,POINT (-47.45785325320403 -23.499322999999997)
333227,SORRISO,Muniz Auto Center - C.D,CNF COMERCIO DE PNEUMATICOS LTDA,(66)99256-4170,46.418.800/0001-28,Ativo,sorriso,mt,0,mato grosso,-55.7259136750913,-12.5517767078455,380.156774,POINT (-55.72591367509128 -12.551776707845477)
1178752,SORRISO (Novo),Muniz Auto Center - C.D,SORRISO MR COMERCIO DE PNEUMATICOS LTDA,(44)9124-6199,53.596.785/0001-73,Ativo,sorriso,mt,0,mato grosso,-55.7259136750913,-12.5517767078455,380.156774,POINT (-55.72591367509128 -12.551776707845477)
843932,SUMARÉ,Muniz Auto Center - C.D,MUNIZ FRANQUIAS LTDA,(44)0000-0000,28031260001387,Ativo,sumare,sp,0,sao paulo,-47.2658027320901,-22.822145,570.007909,POINT (-47.26580273209009 -22.822145)
1142556,SUZANO,Muniz Auto Center - C.D,MUNIZ FRANQUIAS LTDA,(44)9124-6199,280.312.600-01549,Ativo,suzano,sp,0,sao paulo,-46.3078104672882,-23.5368275,745.794812,POINT (-46.307810467288185 -23.5368275)
580183,TAUBATÉ,Muniz Auto Center - C.D,MUNIZ FRANQUIAS LTDA,(44)99142-7584,28031260000224,Ativo,taubate,sp,0,sao paulo,-45.5566086966874,-23.0265555,586.078506,POINT (-45.556608696687434 -23.0265555)
1232490,TEIXEIRA DE FREITAS,Muniz Auto Center - C.D,TEIXEIRA DE FREITAS AM COMERCIO DE PNEUMATICOS LTDA,(44)00000-0000,53.916.891/0001-97,Ativo,teixeira de freitas,ba,0,bahia,-39.7445176868085,-17.5377498816811,116.838704,POINT (-39.74451768680849 -17.5377498816811)
193812,TELEMACO BORBA,Muniz Auto Center - C.D,TURCATO COMERCIO DE PNEUMATICOS LTDA,(44)3045-2501,41.566.831/0001-02,Ativo,telemaco borba,pr,0,parana,-50.6231227231312,-24.32868597,763.973309,POINT (-50.62312272313116 -24.328685970000002)
327521,TERESINA,Muniz Auto Center - C.D,COMERCIO DE PNEUMATICOS RM TERESINA LTDA,(44)99124-6199,52.814.974/0001-02,Ativo,teresina,pi,0,piaui,-42.8052704582233,-5.0863419523217,87.951179,POINT (-42.80527045822334 -5.0863419523217)
